
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
        35     0.375     2.593     0.000     0.003     0.001
        35     0.449     2.526     0.000     0.008     0.002
        35     0.523     2.458    -0.013     0.006     0.012
        35     0.597     2.391     0.000     0.000     0.008
        35     0.671     2.324     0.000     0.000     0.004
        35     0.744     2.256     0.000     0.000     0.000
%   fiber f1:0036
        36     1.510    -1.179     0.000     0.000    -0.014
        36     1.482    -1.083    -0.065    -0.017    -0.030
        36     1.453    -0.987     0.035    -0.011    -0.023
        36     1.425    -0.891     0.027    -0.008    -0.023
        36     1.396    -0.795     0.019     0.010    -0.041
        36     1.368    -0.699     0.087     0.007    -0.037
        36     1.340    -0.603    -0.075    -0.062    -0.013
        36     1.311    -0.507     0.006    -0.088     0.058
        36     1.283    -0.412     0.003     0.015     0.031
        36     1.255    -0.316    -0.009    -0.002     0.016
        36     1.226    -0.220    -0.021    -0.004     0.000
%   fiber f1:0037
        37     0.427     2.433    -0.023     0.048     0.043
        37     0.469     2.342    -0.039    -0.011     0.038
        37     0.510     2.251     0.005     0.019     0.043
        37     0.552     2.160     0.020     0.032     0.054
        37     0.593     2.069    -0.008     0.014     0.060
        37     0.635     1.978    -0.011    -0.003     0.052
        37     0.677     1.887     0.002     0.009     0.050
        37     0.718     1.796    -0.023    -0.008     0.042
        37     0.760     1.705    -0.000    -0.015     0.018
        37     0.802     1.614     0.004     0.022     0.026
        37     0.843     1.523     0.016    -0.011     0.000
%   fiber f1:0038
        38     1.689    -1.608     0.040    -0.041    -0.023
        38     1.732    -1.698     0.009    -0.019    -0.013
        38     1.775    -1.788     0.011    -0.029    -0.012
        38     1.818    -1.878     0.090     0.012    -0.009
        38     1.862    -1.968     0.014    -0.009     0.007
        38     1.905    -2.059     0.005    -0.004     0.033
        38     1.948    -2.149    -0.018    -0.044     0.033
        38     1.991    -2.239     0.016    -0.088    -0.022
        38     2.034    -2.329    -0.011    -0.056    -0.036
        38     2.077    -2.419    -0.002    -0.007    -0.011
        38     2.121    -2.510     0.009    -0.019     0.000
%   fiber f1:0039
        39     1.319    -0.207    -0.006     0.015     0.006
        39     1.342    -0.304    -0.002    -0.010    -0.015
        39     1.366    -0.401     0.029     0.010    -0.023
        39     1.389    -0.499    -0.022     0.022    -0.007
        39     1.412    -0.596    -0.007     0.021     0.004
        39     1.435    -0.693    -0.033     0.002     0.003
        39     1.459    -0.790    -0.011     0.021     0.015
        39     1.482    -0.888    -0.028    -0.018    -0.006
        39     1.505    -0.985    -0.013    -0.011    -0.024
        39     1.528    -1.082     0.022     0.042     0.001
        39     1.552    -1.180     0.011     0.012     0.000
%   fiber f1:0040
        40     1.293    -0.484    -0.024     0.013    -0.009
        40     1.277    -0.385    -0.004    -0.012     0.009
        40     1.261    -0.286    -0.019    -0.024     0.037
        40     1.245    -0.188    -0.022    -0.025     0.066
        40     1.229    -0.089    -0.010     0.037     0.036
        40     1.213     0.010    -0.046    -0.022     0.057
        40     1.197     0.108     0.000     0.000     0.065
        40     1.181     0.207     0.000     0.048     0.025
        40     1.165     0.306    -0.028     0.026     0.003
        40     1.149     0.405     0.003     0.020    -0.009
        40     1.133     0.503     0.003    -0.001     0.000
%   fiber f1:0041
        41     1.077     0.810    -0.009     0.035    -0.050
        41     1.038     0.902    -0.021    -0.038    -0.036
        41     1.000     0.995     0.022    -0.027    -0.016
        41     0.961     1.087    -0.019    -0.027    -0.011
        41     0.923     1.179    -0.003     0.010    -0.035
        41     0.884     1.272     0.044    -0.030    -0.004
        41     0.845     1.364    -0.000    -0.031     0.011
        41     0.807     1.456     0.012     0.009    -0.006
        41     0.768     1.548     0.037    -0.023     0.016
        41     0.730     1.641     0.009    -0.005     0.010
        41     0.691     1.733     0.002    -0.002     0.000
%   fiber f1:0042
        42     0.726     1.669    -0.005     0.020     0.016
        42     0.764     1.577     0.023     0.008     0.011
        42     0.802     1.484    -0.013    -0.002     0.010
        42     0.839     1.391    -0.088     0.036     0.073
        42     0.877     1.299    -0.016     0.014     0.088
        42     0.914     1.206     0.004     0.013     0.095
        42     0.952     1.113    -0.021    -0.006     0.093
        42     0.990     1.021    -0.002    -0.002     0.088
        42     1.027     0.928    -0.004    -0.028     0.060
        42     1.065     0.835     0.004    -0.023     0.033
        42     1.102     0.743    -0.041    -0.049     0.000
%   fiber f1:0043
        43     0.942     1.469    -0.005     0.001    -0.001
        43     0.902     1.561    -0.032     0.001    -0.012
        43     0.862     1.652     0.008    -0.008     0.001
        43     0.822     1.744    -0.036     0.005    -0.015
        43     0.782     1.836    -0.026    -0.018    -0.007
        43     0.742     1.927    -0.005    -0.021     0.013
        43     0.702     2.019    -0.014     0.004     0.006
        43     0.662     2.111     0.038     0.029    -0.003
        43     0.622     2.202     0.026    -0.014     0.023
        43     0.582     2.294     0.008    -0.013     0.041
        43     0.542     2.386    -0.016     0.040     0.000
%   fiber f1:0044
        44     1.333    -0.455    -0.023    -0.056    -0.028
        44     1.353    -0.553     0.040    -0.015    -0.028
        44     1.373    -0.651    -0.010    -0.019    -0.022
        44     1.392    -0.749    -0.064    -0.025    -0.011
        44     1.412    -0.847     0.064     0.011     0.010
        44     1.432    -0.945     0.022    -0.035    -0.006
        44     1.452    -1.043    -0.060    -0.087    -0.056
        44     1.472    -1.141     0.019    -0.009    -0.047
        44     1.492    -1.239    -0.031    -0.026    -0.044
        44     1.512    -1.337     0.008     0.000    -0.022
        44     1.531    -1.435     0.001     0.000     0.000
%   fiber f1:0045
        45     0.793     1.383     0.028     0.067     0.049
        45     0.839     1.294     0.081    -0.023    -0.006
        45     0.884     1.205    -0.004     0.011     0.007
        45     0.930     1.116    -0.005    -0.016    -0.003
        45     0.975     1.027     0.012    -0.006    -0.012
        45     1.021     0.938    -0.039    -0.050    -0.037
        45     1.066     0.849    -0.004     0.032    -0.004
        45     1.112     0.759    -0.024     0.018     0.025
        45     1.158     0.670    -0.050    -0.058    -0.001
        45     1.203     0.581    -0.006    -0.006    -0.002
        45     1.249     0.492     0.000     0.000     0.000
%   fiber f1:0046
        46     1.251    -0.230     0.045    -0.012    -0.024
        46     1.270    -0.328     0.030     0.009    -0.024
        46     1.288    -0.426    -0.019     0.034     0.009
        46     1.307    -0.524     0.037    -0.016    -0.017
        46     1.326    -0.623     0.011     0.026     0.002
        46     1.345    -0.721    -0.043    -0.002     0.005
        46     1.364    -0.819    -0.016     0.002     0.006
        46     1.383    -0.917    -0.018    -0.023    -0.016
        46     1.402    -1.015     0.022     0.033     0.009
        46     1.421    -1.113     0.051     0.022     0.017
        46     1.440    -1.212     0.021    -0.010     0.000
%   fiber f1:0047
        47     1.847    -1.943     0.010    -0.023    -0.028
        47     1.902    -2.026     0.049     0.006    -0.054
        47     1.957    -2.110     0.012    -0.007    -0.069
        47     2.012    -2.193     0.001     0.022    -0.054
        47     2.068    -2.276    -0.110     0.032     0.030
        47     2.123    -2.360    -0.066    -0.029     0.039
        47     2.178    -2.443     0.005    -0.018     0.018
        47     2.233    -2.526    -0.029    -0.026     0.010
        47     2.288    -2.610     0.007     0.004     0.006
        47     2.344    -2.693     0.000     0.000     0.003
        47     2.399    -2.776     0.000     0.000     0.000
%   fiber f1:0048
        48     1.556    -1.418     0.014    -0.018    -0.017
        48     1.602    -1.507     0.030    -0.022    -0.046
        48     1.649    -1.596    -0.011    -0.018    -0.051
        48     1.695    -1.684     0.022    -0.003    -0.059
        48     1.741    -1.773    -0.024     0.023    -0.022
        48     1.788    -1.861     0.007     0.003    -0.018
        48     1.834    -1.950    -0.016     0.004    -0.002
        48     1.880    -2.039    -0.008    -0.008    -0.000
        48     1.927    -2.127    -0.047     0.002     0.029
        48     1.973    -2.216    -0.010    -0.032     0.011
